f_raw,rank_abs,f_permil,f_logpermil+3.56594158831,f_logpermil+10,band,token...
595562,584,161.802561023,5.77492697968,12.2089853914,10,música
587845,592,159.706002876,5.7692628286,12.2033212403,10,carrera
569508,612,154.724198191,5.75549982908,12.1895582408,10,antiguo
526845,663,143.133494518,5.72168286275,12.1557412744,10,chico
524069,671,142.379309548,5.71938847085,12.1534468825,10,coche
515118,688,139.947497707,5.71190672589,12.1459651376,10,50
508830,697,138.239170944,5.70657270887,12.1406311206,10,comercial
491646,732,133.570613835,5.69165251012,12.1257109218,10,banco
488199,737,132.634131273,5.6885968855,12.1226552972,10,negro
452498,803,122.934866996,5.655616664,12.0896750757,10,edificio
436401,836,118.561626553,5.63988573709,12.0739441488,10,original
433887,840,117.878621864,5.63737663812,12.0714350498,10,2012
413382,883,112.307813932,5.61635156211,12.0504099738,10,rojo
401726,904,109.141106433,5.6039299405,12.0379883522,10,cine
400543,911,108.819708443,5.60264914629,12.036707558,10,tienda
386647,946,105.044436703,5.58731464483,12.0213730565,10,normal
380249,961,103.306225089,5.58006808059,12.0141264923,10,40
363003,1005,98.6208237919,5.55991021423,11.9939686259,10,dolor
357852,1023,97.2213977173,5.55370344879,11.9877618605,10,corto
355012,1030,96.449825197,5.55024303318,11.9843014449,10,prensa
354909,1031,96.4218421092,5.55011701259,11.9841754243,10,código
345899,1054,93.9740011206,5.53894930646,11.9730077182,11,teléfono
338615,1081,91.9950806144,5.52970619262,11.9637646043,11,búsqueda
335919,1092,91.2626300811,5.52623456878,11.9602929805,11,barrio
334906,1097,90.9874177702,5.5249229282,11.9589813399,11,museo
332992,1105,90.4674213604,5.52243379988,11.9564922116,11,infantil
332753,1106,90.4024897293,5.52212197963,11.9561803913,11,móvil
331568,1112,90.0805483785,5.52057260965,11.9546310213,11,sexo
331432,1113,90.0435998352,5.52039443755,11.9544528492,11,fruto
330028,1119,89.6621604625,5.51855078754,11.9526091992,11,televisión
311701,1181,84.6830725827,5.49373819558,11.9277966073,11,verde
307715,1190,83.6001542497,5.48814866706,11.9222070788,11,60
305111,1199,82.8926983192,5.48445786531,11.918516277,11,cocina
297841,1221,80.9175813395,5.47398448135,11.908042893,11,ejecutivo
293969,1237,79.8656345795,5.46830153504,11.9023599467,11,global
290620,1254,78.9557767027,5.46332549844,11.8973839101,11,adulto
287563,1271,78.1252495215,5.45873300574,11.8927914174,11,agencia
280925,1293,76.3218345957,5.44859038954,11.8826488012,11,dispositivo
280919,1294,76.3202045129,5.44858111377,11.8826395255,11,ordenador
263494,1375,71.5861724124,5.42077073038,11.8548291421,11,medicina
261104,1394,70.9368561013,5.41681352508,11.8508719368,11,sexual
259633,1400,70.5372141375,5.41435989155,11.8484183032,11,vídeo
258594,1408,70.2549381345,5.41261844399,11.8466768557,11,oro
256079,1415,69.5716617653,5.4083739652,11.8424323769,11,alemán
255315,1418,69.3640978902,5.40707633077,11.8411347425,11,tasa
253944,1423,68.9916239728,5.4047379561,11.8387963678,11,80
253793,1424,68.9506002226,5.40447963942,11.8385380511,11,novela
250369,1442,68.0203663109,5.39858055472,11.8326389664,11,literatura
249433,1447,67.7660733958,5.39695391013,11.8310123218,11,máquina
249118,1448,67.6804940493,5.39640510858,11.8304635203,11,periodista
248363,1452,67.4753752983,5.39508689709,11.8291453088,11,útil
246884,1461,67.0735598908,5.39249294519,11.8265513569,11,video
245647,1466,66.7374911557,5.39031146462,11.8243698763,11,feria
237015,1516,64.3923453829,5.37477583213,11.8088342438,11,flor
230281,1553,62.5628491324,5.36225810672,11.7963165184,11,boca
222659,1588,60.4921006291,5.34764025425,11.7816986659,11,90
222151,1593,60.354086953,5.34664827253,11.7807066842,11,70
219817,1614,59.7199847479,5.34206127644,11.7761196881,11,publicidad
213174,1650,57.9152114198,5.32873423438,11.7627926461,11,rosa
210761,1668,57.259646458,5.32379025051,11.7578486622,11,azul
204005,1704,55.4241732373,5.30964081177,11.7436992235,11,moda
198134,1742,53.829137228,5.29695900732,11.731017419,11,2002
195404,1758,53.0874495589,5.29093344966,11.7249918614,11,palacio
187933,1805,51.0577248058,5.27400304652,11.7080614582,11,pelo
185823,1817,50.4844790249,5.26909946722,11.7031578789,11,dependencia
